job_title,experience_level,work_models,employee_residence,salary_in_usd,company_location,company_size
Data Manager,Senior-level,On-site,United States,96600,United States,Medium
Data Manager,Senior-level,On-site,United States,55200,United States,Medium
Data Analyst,Entry-level,On-site,United States,83300,United States,Medium
Data Visualization Specialist,Entry-level,On-site,United States,99300,United States,Medium
Data Visualization Specialist,Entry-level,On-site,United States,82800,United States,Medium
Data Architect,Senior-level,On-site,United States,145000,United States,Medium
Data Architect,Senior-level,On-site,United States,110841,United States,Medium
Data Analyst,Mid-level,On-site,United States,101000,United States,Medium
Data Analyst,Mid-level,On-site,United States,50000,United States,Medium
Data Engineer,Senior-level,Remote,United States,182500,United States,Medium
Data Engineer,Senior-level,Remote,United States,121700,United States,Medium
Data Analyst,Senior-level,Remote,United States,134500,United States,Medium
Data Analyst,Senior-level,Remote,United States,91460,United States,Medium
Data Scientist,Senior-level,On-site,United States,150000,United States,Medium
Research Analyst,Entry-level,On-site,United States,75753,United States,Medium
Research Analyst,Entry-level,On-site,United States,47423,United States,Medium
Data Engineer,Senior-level,On-site,United States,124935,United States,Medium
Data Engineer,Senior-level,On-site,United States,76050,United States,Medium
Data Engineer,Senior-level,On-site,United States,286000,United States,Medium
Data Engineer,Senior-level,On-site,United States,143000,United States,Medium
Data Engineer,Mid-level,Remote,United States,106400,United States,Medium
Data Engineer,Mid-level,Remote,United States,70000,United States,Medium
Data Engineer,Senior-level,On-site,United States,243600,United States,Medium
Data Engineer,Senior-level,On-site,United States,148200,United States,Medium
Data Analyst,Entry-level,Remote,United States,131600,United States,Medium
Data Analyst,Entry-level,Remote,United States,82400,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,245700,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,132300,United States,Medium
Data Analyst,Entry-level,Remote,United States,155750,United States,Medium
Data Analyst,Entry-level,Remote,United States,79350,United States,Medium
Data Engineer,Senior-level,On-site,United States,234000,United States,Medium
Data Engineer,Senior-level,On-site,United States,117000,United States,Medium
AI Engineer,Senior-level,On-site,United States,242000,United States,Medium
AI Engineer,Senior-level,On-site,United States,106200,United States,Medium
Data Analyst,Senior-level,Remote,United States,123900,United States,Medium
Data Analyst,Senior-level,Remote,United States,75000,United States,Medium
Data Engineer,Mid-level,On-site,United States,136500,United States,Medium
Data Engineer,Mid-level,On-site,United States,123500,United States,Medium
Data Engineer,Senior-level,Remote,United States,227500,United States,Medium
Data Engineer,Senior-level,Remote,United States,145600,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,186754,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,101000,United States,Medium
Data Scientist,Entry-level,On-site,United States,149800,United States,Medium
Data Scientist,Entry-level,On-site,United States,70800,United States,Medium
Data Engineer,Mid-level,Remote,United States,132000,United States,Medium
Data Engineer,Mid-level,Remote,United States,111000,United States,Medium
Data Engineer,Mid-level,Remote,United States,180000,United States,Medium
Data Engineer,Mid-level,Remote,United States,162000,United States,Medium
Data Analyst,Senior-level,On-site,United States,150000,United States,Medium
Data Analyst,Senior-level,On-site,United States,135000,United States,Medium
Analytics Engineer,Senior-level,On-site,United States,115000,United States,Medium
Analytics Engineer,Senior-level,On-site,United States,95000,United States,Medium
Research Scientist,Mid-level,On-site,United States,238000,United States,Medium
Research Scientist,Mid-level,On-site,United States,144500,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,145000,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,98500,United States,Medium
Data Scientist,Mid-level,Remote,United States,209300,United States,Medium
Data Scientist,Mid-level,Remote,United States,123800,United States,Medium
Machine Learning Engineer,Entry-level,On-site,United States,130400,United States,Medium
Machine Learning Engineer,Entry-level,On-site,United States,70800,United States,Medium
Data Engineer,Mid-level,On-site,United States,160000,United States,Medium
Data Engineer,Mid-level,On-site,United States,75000,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,300000,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,200000,United States,Medium
Data Scientist,Senior-level,On-site,United States,254900,United States,Medium
Data Scientist,Senior-level,On-site,United States,203920,United States,Medium
Data Scientist,Senior-level,On-site,United States,191200,United States,Medium
Data Scientist,Senior-level,On-site,United States,170186,United States,Medium
Data Analyst,Senior-level,Remote,United States,150000,United States,Medium
NLP Engineer,Executive-level,On-site,United States,200000,United States,Medium
NLP Engineer,Executive-level,On-site,United States,150000,United States,Medium
MLOps Engineer,Senior-level,On-site,United States,247300,United States,Medium
MLOps Engineer,Senior-level,On-site,United States,139700,United States,Medium
Marketing Data Scientist,Senior-level,Hybrid,United States,90000,United States,Large
Data Architect,Senior-level,On-site,United States,198000,United States,Medium
Data Architect,Senior-level,On-site,United States,94000,United States,Medium
Applied Scientist,Senior-level,On-site,United States,219100,United States,Medium
Applied Scientist,Senior-level,On-site,United States,118500,United States,Medium
Data Engineer,Senior-level,Remote,United States,128000,United States,Medium
Data Engineer,Entry-level,Remote,United States,60000,United States,Medium
Data Engineer,Entry-level,Remote,United States,48000,United States,Medium
Data Engineer,Executive-level,On-site,United States,234000,United States,Medium
Data Engineer,Executive-level,On-site,United States,146000,United States,Medium
Data Analyst,Mid-level,On-site,United States,130100,United States,Medium
Business Intelligence Manager,Mid-level,On-site,United States,166500,United States,Medium
Business Intelligence Manager,Mid-level,On-site,United States,104000,United States,Medium
AI Engineer,Mid-level,On-site,United States,166000,United States,Medium
AI Engineer,Mid-level,On-site,United States,73100,United States,Medium
Research Engineer,Entry-level,On-site,United States,98000,United States,Medium
Research Engineer,Entry-level,On-site,United States,73000,United States,Medium
Analytics Engineer,Senior-level,On-site,United States,183540,United States,Medium
Analytics Engineer,Senior-level,On-site,United States,132000,United States,Medium
Research Scientist,Mid-level,On-site,United States,240000,United States,Medium
Research Scientist,Mid-level,On-site,United States,133000,United States,Medium
Data Scientist,Senior-level,On-site,United States,273500,United States,Medium
Data Scientist,Senior-level,On-site,United States,182500,United States,Medium
Research Engineer,Senior-level,On-site,United States,240960,United States,Medium
Research Engineer,Senior-level,On-site,United States,176000,United States,Medium
Research Scientist,Mid-level,On-site,United States,130000,United States,Medium
Data Engineer,Senior-level,Remote,United States,130000,United States,Medium
Research Scientist,Entry-level,On-site,United States,162240,United States,Medium
Research Scientist,Entry-level,On-site,United States,47840,United States,Medium
Data Scientist,Mid-level,On-site,United States,296980,United States,Medium
Data Scientist,Mid-level,On-site,United States,123740,United States,Medium
ML Engineer,Senior-level,On-site,United States,247250,United States,Medium
ML Engineer,Senior-level,On-site,United States,160000,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,220000,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,146000,United States,Medium
Data Architect,Senior-level,Remote,United States,200000,United States,Medium
Data Architect,Senior-level,Remote,United States,115000,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,370000,United States,Medium
Business Intelligence Engineer,Mid-level,On-site,United States,185000,United States,Large
Business Intelligence Engineer,Mid-level,On-site,United States,79600,United States,Large
Data Science Consultant,Senior-level,On-site,United States,125000,United States,Medium
Data Scientist,Senior-level,On-site,United States,175000,United States,Medium
Data Scientist,Senior-level,Remote,United States,235000,United States,Medium
Data Scientist,Senior-level,Remote,United States,175000,United States,Medium
Machine Learning Engineer,Senior-level,Remote,United States,185000,United States,Medium
Machine Learning Engineer,Senior-level,Remote,United States,128000,United States,Medium
Data Engineer,Executive-level,Remote,United States,350000,United States,Medium
Data Engineer,Executive-level,Remote,United States,268000,United States,Medium
Data Architect,Senior-level,Remote,United States,180000,United States,Medium
Business Intelligence Analyst,Entry-level,On-site,United States,100000,United States,Medium
Business Intelligence Analyst,Entry-level,On-site,United States,80000,United States,Medium
Data Analyst,Senior-level,On-site,United States,234485,United States,Medium
Data Analyst,Senior-level,On-site,United States,112655,United States,Medium
Data Engineer,Senior-level,On-site,United States,146000,United States,Medium
Data Scientist,Mid-level,On-site,United States,199700,United States,Medium
Data Scientist,Mid-level,On-site,United States,70800,United States,Medium
Data Analyst,Entry-level,On-site,United States,99900,United States,Medium
Data Engineer,Senior-level,On-site,United States,158000,United States,Medium
Data Engineer,Senior-level,On-site,United States,90300,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,266500,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,152000,United States,Medium
Research Analyst,Entry-level,Remote,United States,70000,United States,Medium
Research Analyst,Entry-level,Remote,United States,60000,United States,Medium
Data Scientist,Senior-level,Remote,United States,187200,United States,Medium
Data Scientist,Senior-level,Remote,United States,140400,United States,Medium
Business Intelligence Engineer,Senior-level,On-site,United States,156400,United States,Medium
Data Architect,Senior-level,On-site,United States,190900,United States,Medium
Data Architect,Senior-level,On-site,United States,109100,United States,Medium
Data Engineer,Senior-level,On-site,United States,145000,United States,Medium
Data Engineer,Senior-level,On-site,United States,98500,United States,Medium
Research Scientist,Entry-level,On-site,United States,195200,United States,Large
Research Scientist,Entry-level,On-site,United States,100400,United States,Large
Data Analyst,Mid-level,Remote,United States,125000,United States,Medium
Data Analyst,Mid-level,Remote,United States,100000,United States,Medium
Data Engineer,Mid-level,On-site,United States,181700,United States,Medium
Data Engineer,Mid-level,On-site,United States,64300,United States,Medium
Data Scientist,Senior-level,On-site,United States,185900,United States,Medium
Data Scientist,Senior-level,On-site,United States,129300,United States,Medium
Data Analyst,Entry-level,Remote,United States,85000,United States,Medium
Data Analyst,Entry-level,Remote,United States,80000,United States,Medium
Data Science Manager,Senior-level,Remote,United States,120000,United States,Medium
Data Science Manager,Senior-level,Remote,United States,52100,United States,Medium
AI Scientist,Senior-level,On-site,United States,219000,United States,Medium
AI Scientist,Senior-level,On-site,United States,152000,United States,Medium
Machine Learning Engineer,Senior-level,Remote,United States,204500,United States,Medium
Machine Learning Engineer,Senior-level,Remote,United States,142200,United States,Medium
Data Visualization Specialist,Mid-level,On-site,United States,158000,United States,Medium
Data Visualization Specialist,Mid-level,On-site,United States,90300,United States,Medium
Data Engineer,Senior-level,Remote,United States,170000,United States,Medium
Data Engineer,Senior-level,Remote,United States,175000,United States,Medium
Applied Scientist,Mid-level,On-site,United States,260000,United States,Large
Data Engineer,Senior-level,On-site,United States,152375,United States,Medium
Data Engineer,Senior-level,On-site,United States,94000,United States,Medium
Data Analyst,Senior-level,On-site,United States,82000,United States,Medium
Data Analyst,Senior-level,On-site,United States,77000,United States,Medium
Data Engineer,Senior-level,Remote,United States,196000,United States,Medium
Data Engineer,Senior-level,Remote,United States,94000,United States,Medium
Data Scientist,Senior-level,On-site,United States,264846,United States,Medium
Data Scientist,Senior-level,On-site,United States,143060,United States,Medium
Data Analyst,Entry-level,On-site,United States,203000,United States,Medium
Data Analyst,Entry-level,On-site,United States,89030,United States,Medium
Data Analyst,Entry-level,On-site,United States,160800,United States,Medium
Data Analyst,Entry-level,On-site,United States,92700,United States,Medium
Data Analyst,Senior-level,On-site,United States,62000,United States,Medium
Data Analyst,Senior-level,On-site,United States,51000,United States,Medium
Data Analyst,Entry-level,On-site,United States,137500,United States,Medium
Data Analyst,Entry-level,On-site,United States,100000,United States,Medium
Data Analyst,Entry-level,On-site,United States,50000,United States,Medium
BI Developer,Mid-level,On-site,United States,154800,United States,Medium
BI Developer,Mid-level,On-site,United States,76300,United States,Medium
Research Scientist,Senior-level,On-site,United States,240000,United States,Medium
Research Scientist,Senior-level,On-site,United States,200000,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,240000,United States,Medium
Data Engineer,Executive-level,On-site,United States,465000,United States,Medium
Data Engineer,Executive-level,On-site,United States,385000,United States,Medium
Data Engineer,Mid-level,On-site,United States,240000,United States,Medium
Business Intelligence Engineer,Senior-level,Remote,United States,116300,United States,Medium
Business Intelligence Engineer,Senior-level,Remote,United States,84600,United States,Medium
AI Engineer,Senior-level,On-site,United States,129700,United States,Medium
AI Engineer,Senior-level,On-site,United States,86500,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,225300,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,197400,United States,Medium
Data Engineer,Senior-level,On-site,United States,266000,United States,Medium
Data Engineer,Senior-level,On-site,United States,152000,United States,Medium
Data Science Manager,Senior-level,On-site,United States,224000,United States,Medium
Data Science Manager,Senior-level,On-site,United States,165000,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,255000,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,169000,United States,Medium
Data Engineer,Mid-level,On-site,United States,169000,United States,Medium
Data Engineer,Mid-level,On-site,United States,91000,United States,Medium
Data Scientist,Senior-level,On-site,United States,136500,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,248100,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,145900,United States,Medium
Data Analyst,Senior-level,On-site,United States,185100,United States,Medium
Data Analyst,Senior-level,On-site,United States,133300,United States,Medium
Data Engineer,Mid-level,On-site,United States,115000,United States,Medium
Data Scientist,Senior-level,On-site,United States,220000,United States,Medium
Data Architect,Senior-level,On-site,United States,186000,United States,Medium
Data Architect,Senior-level,On-site,United States,81800,United States,Medium
Data Scientist,Senior-level,Remote,United States,100000,United States,Medium
Machine Learning Researcher,Mid-level,On-site,United States,224400,United States,Medium
Machine Learning Researcher,Mid-level,On-site,United States,138700,United States,Medium
Data Engineer,Executive-level,Remote,United States,210000,United States,Medium
Data Engineer,Executive-level,Remote,United States,168000,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,224400,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,138700,United States,Medium
Data Scientist,Senior-level,On-site,United States,300000,United States,Medium
Data Scientist,Senior-level,On-site,United States,234000,United States,Medium
Analytics Engineer,Mid-level,On-site,United States,140000,United States,Medium
Analytics Engineer,Mid-level,On-site,United States,120000,United States,Medium
Data Analyst,Mid-level,On-site,United States,155000,United States,Medium
Data Analyst,Mid-level,On-site,United States,110000,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,273400,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,182200,United States,Medium
BI Developer,Senior-level,On-site,United States,167500,United States,Medium
BI Developer,Senior-level,On-site,United States,106500,United States,Medium
Data Engineer,Senior-level,On-site,United States,185900,United States,Medium
Data Engineer,Senior-level,On-site,United States,129300,United States,Medium
Data Engineer,Senior-level,On-site,United States,122000,United States,Medium
Data Engineer,Senior-level,On-site,United States,94500,United States,Medium
Data Analyst,Senior-level,On-site,United States,176000,United States,Medium
Data Scientist,Senior-level,Remote,United States,223400,United States,Medium
Data Scientist,Senior-level,Remote,United States,186200,United States,Medium
Data Engineer,Senior-level,On-site,United States,167500,United States,Medium
Data Engineer,Senior-level,On-site,United States,106500,United States,Medium
Research Analyst,Entry-level,Remote,United States,72000,United States,Medium
Research Analyst,Entry-level,Remote,United States,64000,United States,Medium
Analytics Engineer,Senior-level,On-site,United States,179820,United States,Medium
Analytics Engineer,Senior-level,On-site,United States,143860,United States,Medium
Research Scientist,Senior-level,On-site,United States,283050,United States,Medium
Research Scientist,Senior-level,On-site,United States,188700,United States,Medium
Research Engineer,Senior-level,On-site,United States,141298,United States,Medium
Research Engineer,Senior-level,On-site,United States,115607,United States,Medium
Research Scientist,Senior-level,On-site,United States,287500,United States,Medium
Research Scientist,Senior-level,On-site,United States,156000,United States,Medium
Data Analyst,Mid-level,Remote,United States,70000,United States,Medium
Data Engineer,Senior-level,On-site,United States,199000,United States,Medium
Data Engineer,Senior-level,On-site,United States,162000,United States,Medium
Data Engineer,Mid-level,Remote,United States,170884,United States,Medium
Data Engineer,Mid-level,Remote,United States,113923,United States,Medium
Data Engineer,Mid-level,On-site,United States,184000,United States,Medium
Data Engineer,Mid-level,On-site,United States,123000,United States,Medium
Data Scientist,Senior-level,On-site,United States,235750,United States,Medium
Data Scientist,Senior-level,On-site,United States,174250,United States,Medium
Research Scientist,Mid-level,Remote,United States,165000,United States,Medium
Research Scientist,Mid-level,Remote,United States,118800,United States,Medium
Data Engineer,Senior-level,Remote,United States,225000,United States,Medium
Machine Learning Engineer,Mid-level,On-site,United States,213900,United States,Medium
Machine Learning Engineer,Mid-level,On-site,United States,116800,United States,Medium
Data Scientist,Senior-level,Remote,United States,220000,United States,Medium
Data Scientist,Senior-level,Remote,United States,150000,United States,Medium
Data Scientist,Mid-level,On-site,United States,150000,United States,Medium
Data Scientist,Mid-level,On-site,United States,100000,United States,Medium
Data Engineer,Mid-level,On-site,United States,155000,United States,Medium
Data Engineer,Mid-level,On-site,United States,120000,United States,Medium
Data Engineer,Senior-level,On-site,United States,226700,United States,Medium
Data Engineer,Senior-level,On-site,United States,133300,United States,Medium
Data Engineer,Senior-level,On-site,United States,184000,United States,Medium
Data Engineer,Senior-level,On-site,United States,123000,United States,Medium
Data Scientist,Senior-level,On-site,United States,117000,United States,Medium
Data Science Engineer,Senior-level,Remote,United States,160000,United States,Medium
Data Science Engineer,Senior-level,Remote,United States,140000,United States,Medium
Data Scientist,Mid-level,On-site,United States,73000,United States,Medium
Data Scientist,Senior-level,Remote,United States,185900,United States,Medium
Data Scientist,Senior-level,Remote,United States,129300,United States,Medium
Data Engineer,Mid-level,On-site,United States,104000,United States,Medium
Data Engineer,Senior-level,Remote,United States,143000,United States,Medium
Data Engineer,Senior-level,Remote,United States,116000,United States,Medium
Research Scientist,Mid-level,On-site,United States,220000,United States,Medium
Research Scientist,Mid-level,On-site,United States,180000,United States,Medium
Data Engineer,Senior-level,On-site,United States,215000,United States,Medium
Data Scientist,Mid-level,On-site,United States,253000,United States,Medium
Data Scientist,Mid-level,On-site,United States,131000,United States,Medium
Data Scientist,Senior-level,On-site,United States,147000,United States,Medium
Data Product Manager,Mid-level,On-site,United States,186000,United States,Medium
Data Product Manager,Mid-level,On-site,United States,161000,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,205000,United States,Medium
Data Analyst,Senior-level,Remote,United States,137000,United States,Medium
Data Analyst,Senior-level,Remote,United States,110000,United States,Medium
Data Scientist,Senior-level,Remote,United States,172000,United States,Medium
Data Engineer,Mid-level,On-site,United States,148000,United States,Medium
Data Engineer,Mid-level,On-site,United States,99000,United States,Medium
Data Analyst,Entry-level,On-site,United States,105000,United States,Medium
Data Engineer,Senior-level,On-site,United States,99000,United States,Medium
Data Engineer,Senior-level,On-site,United States,52500,United States,Medium
Machine Learning Scientist,Senior-level,Remote,United States,180514,United States,Medium
Machine Learning Scientist,Senior-level,Remote,United States,108308,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,210000,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,147000,United States,Medium
Data Engineer,Senior-level,On-site,United States,290300,United States,Medium
Data Engineer,Senior-level,On-site,United States,196685,United States,Medium
AI Engineer,Senior-level,On-site,United States,220000,United States,Medium
AI Engineer,Senior-level,On-site,United States,176000,United States,Medium
Machine Learning Engineer,Mid-level,On-site,United States,175000,United States,Medium
Machine Learning Engineer,Mid-level,On-site,United States,130000,United States,Medium
Data Architect,Senior-level,On-site,United States,185000,United States,Medium
Data Architect,Senior-level,On-site,United States,150000,United States,Medium
Data Engineer,Senior-level,On-site,United States,115000,United States,Medium
MLOps Engineer,Entry-level,On-site,United States,133000,United States,Medium
MLOps Engineer,Entry-level,On-site,United States,58300,United States,Medium
Data Engineer,Senior-level,On-site,United States,230300,United States,Medium
Data Scientist,Senior-level,On-site,United States,224800,United States,Medium
Data Scientist,Senior-level,On-site,United States,131100,United States,Medium
Data Scientist,Senior-level,On-site,United States,258000,United States,Medium
Data Scientist,Senior-level,On-site,United States,171000,United States,Medium
Data Engineer,Senior-level,On-site,United States,196000,United States,Medium
Data Engineer,Senior-level,On-site,United States,121000,United States,Medium
Data Engineer,Senior-level,On-site,United States,195800,United States,Medium
Data Engineer,Senior-level,On-site,United States,171500,United States,Medium
Data Modeler,Mid-level,On-site,United States,166000,United States,Medium
Data Modeler,Mid-level,On-site,United States,73100,United States,Medium
Data Scientist,Mid-level,On-site,United States,160000,United States,Medium
Data Scientist,Entry-level,On-site,United States,85000,United States,Medium
Data Scientist,Entry-level,On-site,United States,65000,United States,Medium
Machine Learning Engineer,Mid-level,On-site,United States,220000,United States,Medium
Data Scientist,Senior-level,On-site,United States,152000,United States,Medium
Research Engineer,Mid-level,On-site,United States,220000,United States,Medium
Research Engineer,Mid-level,On-site,United States,100000,United States,Medium
Data Scientist,Senior-level,On-site,United States,150200,United States,Medium
Data Scientist,Senior-level,On-site,United States,71000,United States,Medium
Data Engineer,Senior-level,On-site,United States,167200,United States,Medium
Data Engineer,Senior-level,On-site,United States,133000,United States,Medium
Data Engineer,Senior-level,On-site,United States,58400,United States,Medium
Data Scientist,Mid-level,On-site,United States,135000,United States,Medium
Data Engineer,Mid-level,On-site,United States,166000,United States,Medium
Data Engineer,Mid-level,On-site,United States,73100,United States,Medium
Data Analyst,Senior-level,Remote,United States,165000,United States,Medium
Data Analyst,Senior-level,Remote,United States,140000,United States,Medium
Analytics Engineer,Mid-level,Remote,United States,700000,United States,Medium
Analytics Engineer,Mid-level,Remote,United States,150000,United States,Medium
Data Analyst,Mid-level,On-site,United States,167000,United States,Medium
Data Analyst,Mid-level,On-site,United States,121000,United States,Medium
Data Scientist,Senior-level,On-site,United States,190200,United States,Medium
Data Scientist,Senior-level,On-site,United States,95100,United States,Medium
Data Analyst,Entry-level,On-site,United States,133000,United States,Medium
Data Analyst,Entry-level,On-site,United States,58400,United States,Medium
Data Engineer,Senior-level,On-site,United States,135000,United States,Medium
Data Engineer,Senior-level,On-site,United States,100000,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,294000,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,192000,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,266000,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,167000,United States,Medium
Machine Learning Engineer,Senior-level,Remote,United States,200000,United States,Medium
Machine Learning Engineer,Senior-level,Remote,United States,150000,United States,Medium
Data Analyst,Entry-level,Remote,United States,163800,United States,Medium
Data Analyst,Entry-level,Remote,United States,88200,United States,Medium
Data Analyst,Senior-level,On-site,United States,180400,United States,Medium
Data Analyst,Senior-level,On-site,United States,138800,United States,Medium
Machine Learning Engineer,Senior-level,Remote,United States,319000,United States,Medium
Machine Learning Engineer,Senior-level,Remote,United States,206000,United States,Medium
Data Scientist,Senior-level,On-site,United States,215000,United States,Medium
Data Scientist,Senior-level,On-site,United States,142000,United States,Medium
Data Scientist,Senior-level,On-site,United States,266000,United States,Medium
Data Scientist,Senior-level,On-site,United States,167000,United States,Medium
Data Engineer,Mid-level,On-site,United States,178300,United States,Medium
Data Engineer,Mid-level,On-site,United States,105400,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,142000,United States,Medium
Research Scientist,Senior-level,Remote,United States,240000,United States,Medium
Research Scientist,Senior-level,Remote,United States,210000,United States,Medium
Data Engineer,Mid-level,On-site,United States,750000,United States,Medium
Data Engineer,Mid-level,On-site,United States,150000,United States,Medium
Data Science Consultant,Senior-level,On-site,United States,145000,United States,Medium
Data Science Consultant,Senior-level,On-site,United States,128000,United States,Medium
Data Engineer,Senior-level,Remote,United States,154000,United States,Medium
Data Engineer,Senior-level,Remote,United States,126000,United States,Medium
Machine Learning Scientist,Senior-level,On-site,United States,240000,United States,Medium
Machine Learning Scientist,Senior-level,On-site,United States,157250,United States,Medium
Data Engineer,Executive-level,Remote,United States,219650,United States,Medium
Data Engineer,Executive-level,Remote,United States,136000,United States,Medium
Machine Learning Engineer,Mid-level,Remote,United States,180000,United States,Medium
Machine Learning Engineer,Mid-level,Remote,United States,125000,United States,Medium
Data Scientist,Senior-level,On-site,United States,247600,United States,Large
Data Scientist,Senior-level,On-site,United States,127300,United States,Large
Data Engineer,Mid-level,On-site,United States,250000,United States,Medium
Data Engineer,Mid-level,On-site,United States,125000,United States,Medium
Machine Learning Engineer,Senior-level,Remote,United States,190000,United States,Medium
Machine Learning Engineer,Senior-level,Remote,United States,170000,United States,Medium
Data Scientist,Senior-level,Remote,United States,202600,United States,Medium
Data Scientist,Senior-level,Remote,United States,168800,United States,Medium
Data Scientist,Senior-level,Remote,United States,203000,United States,Medium
Data Scientist,Senior-level,Remote,United States,127000,United States,Medium
Business Intelligence Analyst,Mid-level,Remote,United States,125009,United States,Medium
Business Intelligence Analyst,Mid-level,Remote,United States,83339,United States,Medium
Data Analyst,Senior-level,Remote,United States,112200,United States,Medium
Data Analyst,Senior-level,Remote,United States,91800,United States,Medium
Data Scientist,Entry-level,On-site,United States,133000,United States,Medium
Data Scientist,Entry-level,On-site,United States,58300,United States,Medium
Data Engineer,Senior-level,On-site,United States,254000,United States,Medium
Data Engineer,Senior-level,On-site,United States,159000,United States,Medium
Data Engineer,Senior-level,On-site,United States,85000,United States,Medium
Data Scientist,Mid-level,On-site,United States,130500,United States,Medium
Data Scientist,Mid-level,On-site,United States,116000,United States,Medium
Research Analyst,Entry-level,Remote,United States,81400,United States,Medium
Research Analyst,Entry-level,Remote,United States,43500,United States,Medium
Data Engineer,Mid-level,On-site,United States,92000,United States,Medium
Data Analyst,Senior-level,On-site,United States,166000,United States,Medium
Data Analyst,Senior-level,On-site,United States,73100,United States,Medium
Research Scientist,Senior-level,On-site,United States,190000,United States,Medium
Research Scientist,Senior-level,On-site,United States,165000,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,305600,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,146600,United States,Medium
Data Engineer,Senior-level,On-site,United States,275000,United States,Medium
Data Engineer,Senior-level,On-site,United States,146400,United States,Medium
Data Scientist,Senior-level,On-site,United States,208500,United States,Medium
Data Scientist,Senior-level,On-site,United States,165000,United States,Medium
Data Scientist,Senior-level,On-site,United States,258700,United States,Medium
Data Scientist,Senior-level,On-site,United States,172500,United States,Medium
Data Engineer,Senior-level,Remote,United States,185000,United States,Medium
Business Intelligence Analyst,Senior-level,On-site,United States,198200,United States,Medium
Business Intelligence Analyst,Senior-level,On-site,United States,110200,United States,Medium
Machine Learning Researcher,Senior-level,On-site,United States,166000,United States,Medium
Machine Learning Researcher,Senior-level,On-site,United States,73100,United States,Medium
Machine Learning Researcher,Senior-level,On-site,United States,212000,United States,Medium
Machine Learning Researcher,Senior-level,On-site,United States,93300,United States,Medium
AI Engineer,Senior-level,On-site,United States,212000,United States,Medium
AI Engineer,Senior-level,On-site,United States,93300,United States,Medium
Data Engineer,Mid-level,On-site,United States,167100,United States,Medium
Data Engineer,Mid-level,On-site,United States,111400,United States,Medium
Data Scientist,Entry-level,Remote,United States,166000,United States,Medium
Data Scientist,Entry-level,Remote,United States,73100,United States,Medium
Data Analyst,Executive-level,On-site,United States,170000,United States,Medium
Data Analyst,Executive-level,On-site,United States,145000,United States,Medium
Data Architect,Senior-level,Remote,United States,170000,United States,Medium
Data Architect,Senior-level,Remote,United States,135000,United States,Medium
Data Engineer,Senior-level,On-site,United States,139810,United States,Medium
Data Engineer,Senior-level,On-site,United States,95325,United States,Medium
Data Engineer,Senior-level,Remote,United States,247300,United States,Medium
Data Engineer,Senior-level,Remote,United States,139700,United States,Medium
Data Scientist,Senior-level,Remote,United States,188000,United States,Medium
Data Scientist,Senior-level,Remote,United States,139000,United States,Medium
Data Scientist,Senior-level,On-site,United States,750000,United States,Medium
Data Engineer,Senior-level,On-site,United States,160000,United States,Medium
Data Manager,Mid-level,Remote,United States,127000,United States,Medium
Data Manager,Mid-level,Remote,United States,65000,United States,Medium
ML Engineer,Senior-level,On-site,United States,276000,United States,Medium
ML Engineer,Senior-level,On-site,United States,174000,United States,Medium
Analytics Engineer,Executive-level,Remote,United States,250000,United States,Medium
Analytics Engineer,Executive-level,Remote,United States,210000,United States,Medium
Data Science Director,Executive-level,On-site,United States,212000,United States,Medium
Data Science Director,Executive-level,On-site,United States,190000,United States,Medium
